section,unit,exercise,unit_exercise,level
adjektive,komparativ_superlativ,1,komparativ_superlativ 1,A1
adjektive,komparativ_superlativ,2,komparativ_superlativ 2,A1
adjektive,komparativ_superlativ,3,komparativ_superlativ 3,A1
adjektive,komparativ_superlativ,4,komparativ_superlativ 4,A1
adjektive,komparativ_superlativ,5,komparativ_superlativ 5,A1
adjektive,komparativ_superlativ,6,komparativ_superlativ 6,A1
adjektive,komparativ_superlativ,7,komparativ_superlativ 7,A2
adjektive,komparativ_superlativ,8,komparativ_superlativ 8,A2
adjektive,komparativ_superlativ,9,komparativ_superlativ 9,A2
adjektive,komparativ_superlativ,10,komparativ_superlativ 10,A2
adjektive,komparativ_superlativ,11,komparativ_superlativ 11,A2
adjektive,komparativ_superlativ,12,komparativ_superlativ 12,A2
adjektive,adjektivdeklinationen,1,adjektivdeklinationen 1,A2
adjektive,adjektivdeklinationen,2,adjektivdeklinationen 2,A2
adjektive,adjektivdeklinationen,3,adjektivdeklinationen 3,A2
adjektive,adjektivdeklinationen,4,adjektivdeklinationen 4,A2
adjektive,adjektivdeklinationen,5,adjektivdeklinationen 5,A2
adjektive,adjektivdeklinationen,6,adjektivdeklinationen 6,A2
adjektive,adjektivdeklinationen,7,adjektivdeklinationen 7,A2
adjektive,adjektivdeklinationen,8,adjektivdeklinationen 8,A2
adjektive,adjektivdeklinationen,9,adjektivdeklinationen 9,A2
adjektive,adjektivdeklinationen,10,adjektivdeklinationen 10,A2
adjektive,adjektivdeklinationen,11,adjektivdeklinationen 11,A2
adjektive,adjektivdeklinationen,12,adjektivdeklinationen 12,A2
adjektive,adjektivdeklinationen,13,adjektivdeklinationen 13,A2
adjektive,adjektivdeklinationen,14,adjektivdeklinationen 14,A2
adjektive,adjektivdeklinationen,15,adjektivdeklinationen 15,B1
adjektive,adjektivdeklinationen,16,adjektivdeklinationen 16,B1
adjektive,adjektivdeklinationen,17,adjektivdeklinationen 17,B1
adjektive,adjektivdeklinationen,18,adjektivdeklinationen 18,B1
adjektive,adjektivdeklinationen,19,adjektivdeklinationen 19,B1
adjektive,adjektivdeklinationen,20,adjektivdeklinationen 20,B1
adjektive,adjektivdeklinationen,21,adjektivdeklinationen 21,B1
adjektive,adjektivdeklinationen,22,adjektivdeklinationen 22,B1
adjektive,adjektivdeklinationen,23,adjektivdeklinationen 23,B1
adjektive,adjektivdeklinationen,24,adjektivdeklinationen 24,B1
adjektive,adjektivdeklinationen,25,adjektivdeklinationen 25,B2
adjektive,adjektivdeklinationen,26,adjektivdeklinationen 26,B2
adjektive,adjektivdeklinationen,27,adjektivdeklinationen 27,C1
adjektive,adjektivdeklinationen,28,adjektivdeklinationen 28,C1
adjektive,adjektivdeklinationen,29,adjektivdeklinationen 29,C1
adjektive,adjektivdeklinationen,30,adjektivdeklinationen 30,C1
adjektive,adjektive_konjunktionen,1,adjektive_konjunktionen 1,A1
adjektive,adjektive_konjunktionen,2,adjektive_konjunktionen 2,B1
adjektive,adjektive_konjunktionen,3,adjektive_konjunktionen 3,B2
adjektive,adjektive_konjunktionen,4,adjektive_konjunktionen 4,C1
verben,verben,1,verben 1,A1
verben,verben,2,verben 2,A1
verben,verben,3,verben 3,A1
verben,verben,4,verben 4,A1
verben,verben,5,verben 5,A1
verben,verben,6,verben 6,A2
verben,verben,7,verben 7,A2
verben,verben,8,verben 8,A2
verben,verben,9,verben 9,A2
verben,verben,10,verben 10,A2
verben,verben,11,verben 11,B1
verben,verben,12,verben 12,B1
verben,verben,13,verben 13,B1
verben,verben,14,verben 14,B1
verben,verben,15,verben 15,B1
verben,verben,16,verben 16,B1
verben,verben,17,verben 17,B1
verben,verben,18,verben 18,B1
verben,verben,19,verben 19,B1
verben,verben,20,verben 20,B1
verben,verben,21,verben 21,B2
verben,verben,22,verben 22,B2
verben,verben,23,verben 23,B2
verben,verben,24,verben 24,B2
verben,verben,25,verben 25,B2
verben,verben,26,verben 26,B2
verben,verben,27,verben 27,B2
verben,verben,28,verben 28,B2
verben,verben,29,verben 29,B2
verben,verben,30,verben 30,B2
verben,verben,31,verben 31,C1
verben,verben,32,verben 32,C1
verben,verben,33,verben 33,C1
verben,verben,34,verben 34,C1
verben,verben,35,verben 35,C1
verben,verben,36,verben 36,C1
verben,verben,37,verben 37,C1
verben,verben,38,verben 38,C1
verben,verben,39,verben 39,C1
verben,verben,40,verben 40,C1
verben,verben,41,verben 41,C1
verben,verben,42,verben 42,C1
verben,verben,43,verben 43,C1
verben,verben,44,verben 44,C1
verben,verben,45,verben 45,C1
verben,verben,46,verben 46,C1
verben,verben,47,verben 47,C1
verben,verben,48,verben 48,C1
verben,verben,49,verben 49,C1
verben,verben,50,verben 50,C1
verben,trennbare_verben,1,trennbare_verben 1,A1
verben,trennbare_verben,2,trennbare_verben 2,A1
verben,trennbare_verben,3,trennbare_verben 3,A1
verben,trennbare_verben,4,trennbare_verben 4,A2
verben,trennbare_verben,5,trennbare_verben 5,A2
verben,trennbare_verben,6,trennbare_verben 6,A2
verben,trennbare_verben,7,trennbare_verben 7,B1
verben,trennbare_verben,8,trennbare_verben 8,B1
verben,trennbare_verben,9,trennbare_verben 9,B1
verben,trennbare_verben,10,trennbare_verben 10,B1
verben,trennbare_verben,11,trennbare_verben 11,B1
verben,trennbare_verben,12,trennbare_verben 12,B1
verben,trennbare_verben,13,trennbare_verben 13,B1
verben,trennbare_verben,14,trennbare_verben 14,B1
verben,trennbare_verben,15,trennbare_verben 15,B1
verben,trennbare_verben,16,trennbare_verben 16,B1
verben,trennbare_verben,17,trennbare_verben 17,B1
verben,trennbare_verben,18,trennbare_verben 18,B1
